Fecha,Hora,Temperatura (°C),Humedad (%)
2025-10-17,10:48:11,20.5,44.1
2025-10-17,10:48:13,20.5,44.1
2025-10-17,10:48:15,20.5,44.1
2025-10-17,10:48:17,20.5,44.1
2025-10-17,10:48:19,20.5,44.2
2025-10-17,10:48:21,20.5,44.1
2025-10-17,10:48:23,20.5,44.1
2025-10-17,10:48:25,20.5,44.1
2025-10-17,10:48:27,20.5,44.2
2025-10-17,10:48:29,20.5,44.2
2025-10-17,10:48:31,20.5,44.2
2025-10-17,10:48:33,20.5,44.2
2025-10-17,10:48:35,20.5,44.1
2025-10-17,10:48:37,20.5,44.1
2025-10-17,10:48:39,20.5,44.1
2025-10-17,10:48:41,20.5,44.1
2025-10-17,10:48:43,20.5,44.1
2025-10-17,10:48:45,20.5,44.1
2025-10-17,10:48:47,20.5,44.1
2025-10-17,10:48:50,20.5,44.1
2025-10-17,10:48:52,20.5,44.1
2025-10-17,10:48:54,20.5,44.1
2025-10-17,10:48:56,20.5,44.1
2025-10-17,10:48:58,20.5,44.1
2025-10-17,10:49:00,20.5,44.1
2025-10-17,10:49:02,20.5,44.1
2025-10-17,10:49:04,20.5,44.2
2025-10-17,10:49:06,20.5,44.1
2025-10-17,10:49:08,20.5,44.1
2025-10-17,10:49:10,20.5,44.1
2025-10-17,10:49:12,20.5,44.1
2025-10-17,10:49:14,20.5,44.1
2025-10-17,10:49:16,20.5,44.1
2025-10-17,10:49:18,20.5,44.0
2025-10-17,10:49:20,20.5,44.0
2025-10-17,10:49:22,20.5,44.0
2025-10-17,10:49:24,20.5,44.0
2025-10-17,10:49:26,20.5,43.9
2025-10-17,10:49:28,20.5,44.0
2025-10-17,10:49:30,20.5,44.0
2025-10-17,10:49:32,20.5,44.0
2025-10-17,10:49:34,20.5,44.0
2025-10-17,10:49:36,20.5,44.0
2025-10-17,10:49:38,20.5,44.0
2025-10-17,10:49:40,20.5,44.0
2025-10-17,10:49:42,20.5,44.0
2025-10-17,10:49:44,20.5,44.0
2025-10-17,10:49:46,20.5,44.0
2025-10-17,10:49:48,20.5,44.0
2025-10-17,10:49:50,20.5,44.0
2025-10-17,10:49:53,20.5,44.0
2025-10-17,10:49:55,20.5,44.0
2025-10-17,10:49:57,20.5,44.0
2025-10-17,10:49:59,20.5,44.0
2025-10-17,10:50:01,20.5,44.0
2025-10-17,10:50:03,20.5,44.0
2025-10-17,10:50:05,20.5,44.0
2025-10-17,10:50:07,20.5,44.0
2025-10-17,10:50:09,20.5,44.1
2025-10-17,10:50:11,20.5,44.0
2025-10-17,10:50:13,20.5,44.1
2025-10-17,10:50:15,20.5,44.1
2025-10-17,10:50:17,20.5,44.1
2025-10-17,10:50:19,20.5,44.1
2025-10-17,10:50:21,20.6,44.1
2025-10-17,10:50:23,20.5,44.1
2025-10-17,10:50:25,20.5,44.1
2025-10-17,10:50:27,20.5,44.1
2025-10-17,10:50:29,20.5,44.1
2025-10-17,10:50:31,20.5,44.1
2025-10-17,10:50:33,20.5,44.1
2025-10-17,10:50:35,20.5,44.1
2025-10-17,10:50:37,20.5,44.1
2025-10-17,10:50:39,20.5,44.1
2025-10-17,10:50:41,20.5,44.1
2025-10-17,10:50:43,20.5,44.1
2025-10-17,10:50:45,20.5,44.1
2025-10-17,10:50:47,20.6,44.1
2025-10-17,10:50:49,20.5,44.1
2025-10-17,10:50:51,20.6,44.1
2025-10-17,10:50:53,20.5,44.1
2025-10-17,10:50:55,20.5,44.1
2025-10-17,10:50:58,20.6,44.1
2025-10-17,10:51:00,20.5,44.1
2025-10-17,10:51:02,20.5,44.1
2025-10-17,10:51:04,20.5,44.1
2025-10-17,10:51:06,20.5,44.1
2025-10-17,10:51:08,20.5,44.1
2025-10-17,10:51:10,20.6,44.1
2025-10-17,10:51:12,20.6,44.1
2025-10-17,10:51:14,20.5,44.1
2025-10-17,10:51:16,20.5,44.1
2025-10-17,10:51:18,20.5,44.1
2025-10-17,10:51:20,20.5,44.0
2025-10-17,10:51:22,20.5,44.1
2025-10-17,10:51:24,20.6,44.0
2025-10-17,10:51:26,20.6,44.0
2025-10-17,10:51:28,20.5,44.0
2025-10-17,10:51:30,20.6,44.0
2025-10-17,10:51:32,20.6,44.0
2025-10-17,10:51:34,20.5,44.0
2025-10-17,10:51:36,20.6,44.0
2025-10-17,10:51:38,20.6,44.1
2025-10-17,10:51:40,20.5,44.1
2025-10-17,10:51:42,20.6,44.1
2025-10-17,10:51:44,20.6,44.1
2025-10-17,10:51:46,20.6,44.2
2025-10-17,10:51:48,20.6,44.2
2025-10-17,10:51:50,20.6,44.2
2025-10-17,10:51:52,20.6,44.2
2025-10-17,10:51:54,20.6,44.2
2025-10-17,10:51:56,20.6,44.2
2025-10-17,10:51:58,20.6,44.1
2025-10-17,10:52:00,20.6,44.1
2025-10-17,10:52:02,20.6,44.1
2025-10-17,10:52:04,20.6,44.1
2025-10-17,10:52:07,20.6,44.1
2025-10-17,10:52:09,20.6,44.1
2025-10-17,10:52:11,20.6,44.1
2025-10-17,10:52:13,20.6,44.1
2025-10-17,10:52:15,20.6,44.1
2025-10-17,10:52:17,20.6,44.1
2025-10-17,10:52:19,20.6,44.1
2025-10-17,10:52:21,20.6,44.1
2025-10-17,10:52:23,20.6,44.1
2025-10-17,10:52:25,20.6,44.1
2025-10-17,10:52:27,20.6,44.0
2025-10-17,10:52:29,20.6,44.0
2025-10-17,10:52:31,20.6,44.0
2025-10-17,10:52:33,20.6,44.0
2025-10-17,10:52:35,20.6,44.0
2025-10-17,10:52:37,20.6,44.0
2025-10-17,10:52:39,20.6,44.0
2025-10-17,10:52:41,20.6,44.0
2025-10-17,10:52:43,20.6,44.0
2025-10-17,10:52:45,20.6,44.0
2025-10-17,10:52:47,20.6,44.0
2025-10-17,10:52:49,20.6,44.0
2025-10-17,10:52:51,20.6,43.9
2025-10-17,10:52:53,20.6,43.9
2025-10-17,10:52:55,20.6,43.9
2025-10-17,10:52:57,20.6,43.9
2025-10-17,10:52:59,20.6,43.9
2025-10-17,10:53:01,20.6,44.0
2025-10-17,10:53:03,20.6,44.0
2025-10-17,10:53:05,20.6,43.9
2025-10-17,10:53:07,20.6,43.9
2025-10-17,10:53:09,20.6,43.8
2025-10-17,10:53:12,20.6,43.9
2025-10-17,10:53:14,20.6,43.8
2025-10-17,10:53:16,20.6,43.9
2025-10-17,10:53:18,20.6,43.9
2025-10-17,10:53:20,20.6,43.9
2025-10-17,10:53:22,20.6,43.9
2025-10-17,10:53:24,20.6,44.0
2025-10-17,10:53:26,20.6,43.9
2025-10-17,10:53:28,20.6,43.9
2025-10-17,10:53:30,20.6,43.9
2025-10-17,10:53:32,20.6,43.8
2025-10-17,10:53:34,20.6,43.8
2025-10-17,10:53:36,20.6,43.8
2025-10-17,10:53:38,20.6,43.9
2025-10-17,10:53:40,20.6,43.9
2025-10-17,10:53:42,20.6,43.9
2025-10-17,10:53:44,20.6,43.9
2025-10-17,10:53:46,20.6,43.9
2025-10-17,10:53:48,20.6,43.9
2025-10-17,10:53:50,20.6,43.8
2025-10-17,10:53:52,20.6,43.8
2025-10-17,10:53:54,20.6,43.9
2025-10-17,10:53:56,20.6,43.9
2025-10-17,10:53:58,20.6,43.8
2025-10-17,10:54:00,20.6,43.8
2025-10-17,10:54:02,20.6,43.8
2025-10-17,10:54:04,20.6,43.8
2025-10-17,10:54:06,20.6,43.8
2025-10-17,10:54:09,20.6,43.8
2025-10-17,10:54:11,20.6,43.8
2025-10-17,10:54:13,20.6,43.8
2025-10-17,10:54:15,20.6,43.9
2025-10-17,10:54:17,20.6,43.9
2025-10-17,10:54:19,20.6,43.9
2025-10-17,10:54:21,20.6,43.9
2025-10-17,10:54:23,20.6,43.9
2025-10-17,10:54:25,20.6,43.8
2025-10-17,10:54:27,20.6,43.9
2025-10-17,10:54:29,20.6,43.9
2025-10-17,10:54:31,20.6,44.0
2025-10-17,10:54:33,20.6,44.0
2025-10-17,10:54:35,20.6,44.0
2025-10-17,10:54:37,20.6,44.0
2025-10-17,10:54:39,20.7,44.0
2025-10-17,10:54:41,20.6,44.0
2025-10-17,10:54:43,20.6,44.0
2025-10-17,10:54:45,20.6,44.0
2025-10-17,10:54:47,20.6,43.9
2025-10-17,10:54:49,20.6,43.9
2025-10-17,10:54:51,20.7,44.0
2025-10-17,10:54:53,20.7,44.0
2025-10-17,10:54:55,20.6,44.0
2025-10-17,10:54:57,20.7,44.0
2025-10-17,10:54:59,20.6,44.0
2025-10-17,10:55:01,20.6,44.0
2025-10-17,10:55:03,20.6,44.0
2025-10-17,10:55:05,20.6,44.0
2025-10-17,10:55:07,20.6,44.1
2025-10-17,10:55:09,20.6,44.1
2025-10-17,10:55:11,20.7,44.1
2025-10-17,10:55:13,20.6,44.1
2025-10-17,10:55:16,20.7,44.1
2025-10-17,10:55:18,20.6,44.1
2025-10-17,10:55:20,20.7,44.1
2025-10-17,10:55:22,20.7,44.1
2025-10-17,10:55:24,20.7,44.1
2025-10-17,10:55:26,20.6,44.1
2025-10-17,10:55:28,20.6,44.1
2025-10-17,10:55:30,20.7,44.1
2025-10-17,10:55:32,20.6,44.2
2025-10-17,10:55:34,20.7,44.2
2025-10-17,10:55:36,20.7,44.2
2025-10-17,10:55:38,20.7,44.2
2025-10-17,10:55:40,20.6,44.2
2025-10-17,10:55:42,20.6,44.2
2025-10-17,10:55:44,20.6,44.2
2025-10-17,10:55:46,20.7,44.1
2025-10-17,10:55:48,20.6,44.2
2025-10-17,10:55:50,20.6,44.1
2025-10-17,10:55:52,20.6,44.1
2025-10-17,10:55:54,20.7,44.1
2025-10-17,10:55:56,20.6,44.1
2025-10-17,10:55:58,20.6,44.1
2025-10-17,10:56:00,20.7,44.1
2025-10-17,10:56:02,20.7,44.1
2025-10-17,10:56:04,20.6,44.2
2025-10-17,10:56:06,20.7,44.1
2025-10-17,10:56:08,20.6,44.1
2025-10-17,10:56:10,20.6,44.1
2025-10-17,10:56:12,20.6,44.1
2025-10-17,10:56:14,20.6,44.1
2025-10-17,10:56:16,20.7,44.1
2025-10-17,10:56:18,20.7,44.0
